week,ranking,country,player,age,points,(+/-),tournaments_played
2024-03-18,35,srb,Laslo Djere,28,"1,180",-10,24
2024-03-18,36,can,Felix Auger-Aliassime,23,"1,165",-130,22
2024-03-18,37,fra,Arthur Fils,19,"1,128",+50,25
2024-03-18,38,ita,Matteo Arnaldi,23,"1,096",+5,24
2024-03-18,39,rus,Roman Safiullin,26,"1,085",+5,22
2024-03-18,40,aut,Sebastian Ofner,27,"1,076",-40,33
2024-03-18,41,rus,Aslan Karatsev,30,"1,073",-,18
2024-03-18,42,gbr,Jack Draper,22,"1,071",-80,20
2024-03-18,43,gbr,Daniel Evans,33,"1,066",-,27
2024-03-18,44,chi,Alejandro Tabilo,26,"1,040",-76,24
2024-03-18,45,aus,Alexei Popyrin,24,"1,032",-55,23
2024-03-18,46,srb,Miomir Kecmanovic,24,"1,030",-,31
2024-03-18,47,fra,Gael Monfils,37,"1,027",+90,22
2024-03-18,48,fin,Emil Ruusuvuori,24,"1,006",-35,25
2024-03-18,49,chn,Zhizhen Zhang,27,"1,005",-1,26
2024-03-18,50,ger,Dominik Koepfer,29,"1,002",-6,24
2024-03-18,51,usa,Marcos Giron,30,"1,000",-15,28
2024-03-18,52,srb,Dusan Lajovic,33,957,+30,24
2024-03-18,53,ita,Lorenzo Sonego,28,955,+20,27
2024-03-18,54,ger,Daniel Altmaier,25,951,-10,28
2024-03-18,55,arg,Facundo Diaz Acosta,23,943,-20,27
2024-03-18,56,ger,Yannick Hanfmann,32,940,+20,29
2024-03-18,57,hun,Fabian Marozsan,24,929,+15,26
2024-03-18,58,kaz,Alexander Shevchenko,23,924,-76,33
2024-03-18,59,arg,Mariano Navone,23,899,-7,23
2024-03-18,60,cze,Tomas Machac,23,891,+23,24
2024-03-18,61,por,Nuno Borges,27,887,-,29
2024-03-18,62,gbr,Andy Murray,36,870,-15,27
2024-03-18,63,ita,Flavio Cobolli,21,865,-15,33
2024-03-18,64,esp,Roberto Carballes Baena,30,851,+20,31
2024-03-18,65,aus,Aleksandar Vukic,27,834,+33,30
2024-03-18,66,aus,Christopher O'Connell,29,833,+14,31
2024-03-18,67,rus,Pavel Kotov,25,823,+4,22
2024-03-18,68,aus,Max Purcell,25,796,-,32
2024-03-18,69,usa,Mackenzie McDonald,28,790,-25,26
2024-03-18,70,cze,Jakub Mensik,18,781,+30,24
2024-03-18,71,jpn,Yoshihito Nishioka,28,778,-10,22
2024-03-18,72,esp,Jaume Munar,26,776,-,30
2024-03-18,73,usa,Alex Michelsen,19,776,+22,27
2024-03-18,74,fra,Arthur Cazaux,21,774,+5,27
2024-03-18,75,ita,Luciano Darderi,22,771,-16,28
2024-03-18,76,bra,Thiago Seyboth Wild,24,768,-52,24
2024-03-18,77,ned,Botic van de Zandschulp,28,750,-,25
2024-03-18,78,jpn,Taro Daniel,31,742,-31,28
2024-03-18,79,arg,Pedro Cachin,28,739,-15,29
2024-03-18,80,fra,Luca Van Assche,19,736,+40,26
2024-03-18,81,aus,Rinky Hijikata,23,724,-30,29
2024-03-18,82,fra,Arthur Rinderknech,28,723,+3,29
2024-03-18,83,sui,Stan Wawrinka,38,717,-80,21
2024-03-18,84,col,Daniel Elahi Galan,27,712,+3,30
2024-03-18,85,fra,Alexandre Muller,27,709,+20,30
2024-03-18,86,hun,Marton Fucsovics,32,692,-90,22
2024-03-18,87,arg,Federico Coria,32,687,-,30
2024-03-18,88,esp,Pedro Martinez,26,671,-16,29
2024-03-18,89,fra,Hugo Gaston,23,662,-42,28
2024-03-18,90,aut,Dominic Thiem,30,655,-,25
2024-03-18,91,aut,Jurij Rodionov,24,651,+20,27
2024-03-18,92,usa,Brandon Nakashima,22,650,+5,28
2024-03-18,93,fra,Constant Lestienne,31,645,+39,36
2024-03-18,94,usa,J.J. Wolf,25,640,-,24
2024-03-18,95,per,Juan Pablo Varillas,28,637,+75,25
2024-03-18,96,ita,Luca Nardi,20,623,+110,26
2024-03-18,97,ind,Sumit Nagal,26,623,+20,25
2024-03-18,98,usa,Aleksandar Kovacevic,25,616,-38,29
2024-03-18,99,arg,Thiago Agustin Tirante,22,615,-1,25
2024-03-18,100,esp,Roberto Bautista Agut,35,614,-,26
2024-03-04,1,srb,Novak Djokovic,36,"9,675",-180,18
2024-03-04,2,esp,Carlos Alcaraz,20,"8,805",-,18
2024-03-04,3,ita,Jannik Sinner,22,"8,270",-,20
2024-03-04,4,rus,Daniil Medvedev,28,"7,715",-300,19
2024-03-04,5,rus,Andrey Rublev,26,"5,010",-100,24
2024-03-04,6,ger,Alexander Zverev,26,"4,950",-135,26
2024-03-04,7,den,Holger Rune,20,"3,720",+20,23
2024-03-04,8,pol,Hubert Hurkacz,27,"3,405",+10,24
2024-03-04,9,nor,Casper Ruud,25,"3,405",+285,24
2024-03-04,10,aus,Alex de Minaur,25,"3,210",-,25
2024-03-04,11,gre,Stefanos Tsitsipas,25,"3,170",+90,25
2024-03-04,12,usa,Taylor Fritz,26,"3,015",-135,25
2024-03-04,13,bul,Grigor Dimitrov,32,"2,880",-45,24
2024-03-04,14,fra,Ugo Humbert,25,"2,415",+425,29
2024-03-04,15,rus,Karen Khachanov,27,"2,300",+40,23
2024-03-04,16,usa,Ben Shelton,21,"2,145",+90,27
2024-03-04,17,usa,Tommy Paul,26,"2,120",-255,27
2024-03-04,18,usa,Frances Tiafoe,26,"2,115",-40,23
2024-03-04,19,arg,Sebastian Baez,23,"1,985",+160,30
2024-03-04,20,kaz,Alexander Bublik,26,"1,984",+285,30
2024-03-04,21,fra,Adrian Mannarino,35,"1,950",-,29
2024-03-04,22,arg,Francisco Cerundolo,25,"1,840",-,26
2024-03-04,23,esp,Alejandro Davidovich Fokina,24,"1,595",+55,25
2024-03-04,24,chi,Nicolas Jarry,28,"1,575",-200,24
2024-03-04,25,ger,Jan-Lennard Struff,33,"1,531",-,27
2024-03-04,26,ita,Lorenzo Musetti,22,"1,480",-,29
2024-03-04,27,ned,Tallon Griekspoor,27,"1,445",+5,26
2024-03-04,28,gbr,Cameron Norrie,28,"1,380",-,25
2024-03-04,29,usa,Sebastian Korda,23,"1,345",+100,23
2024-03-04,30,arg,Tomas Martin Etcheverry,24,"1,335",-135,28
2024-03-04,31,can,Felix Auger-Aliassime,23,"1,295",-45,22
2024-03-04,32,cze,Jiri Lehecka,22,"1,260",+80,28
2024-03-04,33,aus,Jordan Thompson,29,"1,246",-,29
2024-03-04,34,usa,Christopher Eubanks,27,"1,234",-,24
2024-03-04,35,cro,Borna Coric,27,"1,194",-80,24
2024-03-04,36,srb,Laslo Djere,28,"1,190",-35,24
2024-03-04,37,gbr,Jack Draper,22,"1,151",+200,20
2024-03-04,38,aut,Sebastian Ofner,27,"1,116",+25,32
2024-03-04,39,chi,Alejandro Tabilo,26,"1,116",+165,24
2024-03-04,40,ita,Matteo Arnaldi,23,"1,091",+30,25
2024-03-04,41,aus,Alexei Popyrin,24,"1,087",-,24
2024-03-04,42,rus,Roman Safiullin,26,"1,080",-,22
2024-03-04,43,fra,Arthur Fils,19,"1,078",+50,24
2024-03-04,44,rus,Aslan Karatsev,30,"1,073",-,17
2024-03-04,45,gbr,Daniel Evans,33,"1,066",-,27
2024-03-04,46,fin,Emil Ruusuvuori,24,"1,041",-,26
2024-03-04,47,srb,Miomir Kecmanovic,24,"1,030",+90,31
2024-03-04,48,usa,Marcos Giron,30,"1,015",-,28
2024-03-04,49,ger,Dominik Koepfer,29,"1,008",+90,24
2024-03-04,50,chn,Zhizhen Zhang,27,"1,006",-,27
2024-03-04,51,kaz,Alexander Shevchenko,23,"1,000",-,33
2024-03-04,52,arg,Facundo Diaz Acosta,23,963,+15,29
2024-03-04,53,ger,Daniel Altmaier,25,961,+40,28
